date,year,month,day,day_of_week,is_weekend,WeatherStationName_en,rain_mm_imputed,rain_trace_flag,rain_occurrence_flag,index_right,District_no,District
2023/2/3,2023,2,3,Friday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/4,2023,2,4,Saturday,1,Hong Kong International Airport,0.1,0,1,17,T,Islands
2023/2/5,2023,2,5,Sunday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/6,2023,2,6,Monday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/7,2023,2,7,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/8,2023,2,8,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/9,2023,2,9,Thursday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/10,2023,2,10,Friday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/11,2023,2,11,Saturday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/12,2023,2,12,Sunday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/13,2023,2,13,Monday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/14,2023,2,14,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/15,2023,2,15,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/2/16,2023,2,16,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/2/17,2023,2,17,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/2/18,2023,2,18,Saturday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/19,2023,2,19,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/2/20,2023,2,20,Monday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/21,2023,2,21,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/2/22,2023,2,22,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/2/23,2023,2,23,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/2/24,2023,2,24,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/2/25,2023,2,25,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/2/26,2023,2,26,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/2/27,2023,2,27,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/2/28,2023,2,28,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/1,2023,3,1,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/2,2023,3,2,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/3,2023,3,3,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/4,2023,3,4,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/5,2023,3,5,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/6,2023,3,6,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/7,2023,3,7,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/8,2023,3,8,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/9,2023,3,9,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/10,2023,3,10,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/11,2023,3,11,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/12,2023,3,12,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/13,2023,3,13,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/14,2023,3,14,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/15,2023,3,15,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/16,2023,3,16,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/17,2023,3,17,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/18,2023,3,18,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/19,2023,3,19,Sunday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/3/20,2023,3,20,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/21,2023,3,21,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/3/22,2023,3,22,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/3/23,2023,3,23,Thursday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/3/24,2023,3,24,Friday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/3/25,2023,3,25,Saturday,1,Hong Kong International Airport,23,0,1,17,T,Islands
2023/3/26,2023,3,26,Sunday,1,Hong Kong International Airport,8.2,0,1,17,T,Islands
2023/3/27,2023,3,27,Monday,0,Hong Kong International Airport,10,0,1,17,T,Islands
2023/3/28,2023,3,28,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/3/29,2023,3,29,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/3/30,2023,3,30,Thursday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/3/31,2023,3,31,Friday,0,Hong Kong International Airport,0.2,0,1,17,T,Islands
2023/4/1,2023,4,1,Saturday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/4/2,2023,4,2,Sunday,1,Hong Kong International Airport,2.3,0,1,17,T,Islands
2023/4/3,2023,4,3,Monday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/4/4,2023,4,4,Tuesday,0,Hong Kong International Airport,0.5,0,1,17,T,Islands
2023/4/5,2023,4,5,Wednesday,0,Hong Kong International Airport,1.5,0,1,17,T,Islands
2023/4/6,2023,4,6,Thursday,0,Hong Kong International Airport,14.2,0,1,17,T,Islands
2023/4/7,2023,4,7,Friday,0,Hong Kong International Airport,4.1,0,1,17,T,Islands
2023/4/8,2023,4,8,Saturday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/4/9,2023,4,9,Sunday,1,Hong Kong International Airport,0.1,0,1,17,T,Islands
2023/4/10,2023,4,10,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/4/11,2023,4,11,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/4/12,2023,4,12,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/4/13,2023,4,13,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/4/14,2023,4,14,Friday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/4/15,2023,4,15,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/4/16,2023,4,16,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/4/17,2023,4,17,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/4/18,2023,4,18,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/4/19,2023,4,19,Wednesday,0,Hong Kong International Airport,34.4,0,1,17,T,Islands
2023/4/20,2023,4,20,Thursday,0,Hong Kong International Airport,7.1,0,1,17,T,Islands
2023/4/21,2023,4,21,Friday,0,Hong Kong International Airport,30.9,0,1,17,T,Islands
2023/4/22,2023,4,22,Saturday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/4/23,2023,4,23,Sunday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/4/24,2023,4,24,Monday,0,Hong Kong International Airport,2.7,0,1,17,T,Islands
2023/4/25,2023,4,25,Tuesday,0,Hong Kong International Airport,0.6,0,1,17,T,Islands
2023/4/26,2023,4,26,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/4/27,2023,4,27,Thursday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/4/28,2023,4,28,Friday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/4/29,2023,4,29,Saturday,1,Hong Kong International Airport,0.1,0,1,17,T,Islands
2023/4/30,2023,4,30,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/1,2023,5,1,Monday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/5/2,2023,5,2,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/3,2023,5,3,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/5/4,2023,5,4,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/5,2023,5,5,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/6,2023,5,6,Saturday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/5/7,2023,5,7,Sunday,1,Hong Kong International Airport,54.5,0,1,17,T,Islands
2023/5/8,2023,5,8,Monday,0,Hong Kong International Airport,13.7,0,1,17,T,Islands
2023/5/9,2023,5,9,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/5/10,2023,5,10,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/5/11,2023,5,11,Thursday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/5/12,2023,5,12,Friday,0,Hong Kong International Airport,5.6,0,1,17,T,Islands
2023/5/13,2023,5,13,Saturday,1,Hong Kong International Airport,11.2,0,1,17,T,Islands
2023/5/14,2023,5,14,Sunday,1,Hong Kong International Airport,47.6,0,1,17,T,Islands
2023/5/15,2023,5,15,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/16,2023,5,16,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/17,2023,5,17,Wednesday,0,Hong Kong International Airport,37.1,0,1,17,T,Islands
2023/5/18,2023,5,18,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/19,2023,5,19,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/20,2023,5,20,Saturday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/5/21,2023,5,21,Sunday,1,Hong Kong International Airport,3.5,0,1,17,T,Islands
2023/5/22,2023,5,22,Monday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/5/23,2023,5,23,Tuesday,0,Hong Kong International Airport,21,0,1,17,T,Islands
2023/5/24,2023,5,24,Wednesday,0,Hong Kong International Airport,0.8,0,1,17,T,Islands
2023/5/25,2023,5,25,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/26,2023,5,26,Friday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/5/27,2023,5,27,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/28,2023,5,28,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/29,2023,5,29,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/30,2023,5,30,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/5/31,2023,5,31,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/6/1,2023,6,1,Thursday,0,Hong Kong International Airport,19.1,0,1,17,T,Islands
2023/6/2,2023,6,2,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/6/3,2023,6,3,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/6/4,2023,6,4,Sunday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/6/5,2023,6,5,Monday,0,Hong Kong International Airport,5.7,0,1,17,T,Islands
2023/6/6,2023,6,6,Tuesday,0,Hong Kong International Airport,42.3,0,1,17,T,Islands
2023/6/7,2023,6,7,Wednesday,0,Hong Kong International Airport,3.4,0,1,17,T,Islands
2023/6/8,2023,6,8,Thursday,0,Hong Kong International Airport,16.2,0,1,17,T,Islands
2023/6/9,2023,6,9,Friday,0,Hong Kong International Airport,13.8,0,1,17,T,Islands
2023/6/10,2023,6,10,Saturday,1,Hong Kong International Airport,27.8,0,1,17,T,Islands
2023/6/11,2023,6,11,Sunday,1,Hong Kong International Airport,0.2,0,1,17,T,Islands
2023/6/12,2023,6,12,Monday,0,Hong Kong International Airport,4.7,0,1,17,T,Islands
2023/6/13,2023,6,13,Tuesday,0,Hong Kong International Airport,45.9,0,1,17,T,Islands
2023/6/14,2023,6,14,Wednesday,0,Hong Kong International Airport,38.7,0,1,17,T,Islands
2023/6/15,2023,6,15,Thursday,0,Hong Kong International Airport,22.8,0,1,17,T,Islands
2023/6/16,2023,6,16,Friday,0,Hong Kong International Airport,42.6,0,1,17,T,Islands
2023/6/17,2023,6,17,Saturday,1,Hong Kong International Airport,55.9,0,1,17,T,Islands
2023/6/18,2023,6,18,Sunday,1,Hong Kong International Airport,8.8,0,1,17,T,Islands
2023/6/19,2023,6,19,Monday,0,Hong Kong International Airport,0.3,0,1,17,T,Islands
2023/6/20,2023,6,20,Tuesday,0,Hong Kong International Airport,2.4,0,1,17,T,Islands
2023/6/21,2023,6,21,Wednesday,0,Hong Kong International Airport,0.1,0,1,17,T,Islands
2023/6/22,2023,6,22,Thursday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/6/23,2023,6,23,Friday,0,Hong Kong International Airport,6.9,0,1,17,T,Islands
2023/6/24,2023,6,24,Saturday,1,Hong Kong International Airport,48.5,0,1,17,T,Islands
2023/6/25,2023,6,25,Sunday,1,Hong Kong International Airport,14.3,0,1,17,T,Islands
2023/6/26,2023,6,26,Monday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/6/27,2023,6,27,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/6/28,2023,6,28,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/6/29,2023,6,29,Thursday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/6/30,2023,6,30,Friday,0,Hong Kong International Airport,13.7,0,1,17,T,Islands
2023/7/1,2023,7,1,Saturday,1,Hong Kong International Airport,32.9,0,1,17,T,Islands
2023/7/2,2023,7,2,Sunday,1,Hong Kong International Airport,18.6,0,1,17,T,Islands
2023/7/3,2023,7,3,Monday,0,Hong Kong International Airport,4.7,0,1,17,T,Islands
2023/7/4,2023,7,4,Tuesday,0,Hong Kong International Airport,13.6,0,1,17,T,Islands
2023/7/5,2023,7,5,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/7/6,2023,7,6,Thursday,0,Hong Kong International Airport,1.5,0,1,17,T,Islands
2023/7/7,2023,7,7,Friday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/7/8,2023,7,8,Saturday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/7/9,2023,7,9,Sunday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/7/10,2023,7,10,Monday,0,Hong Kong International Airport,1.7,0,1,17,T,Islands
2023/7/11,2023,7,11,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/7/12,2023,7,12,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/7/13,2023,7,13,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/7/14,2023,7,14,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/7/15,2023,7,15,Saturday,1,Hong Kong International Airport,16.8,0,1,17,T,Islands
2023/7/16,2023,7,16,Sunday,1,Hong Kong International Airport,17.8,0,1,17,T,Islands
2023/7/17,2023,7,17,Monday,0,Hong Kong International Airport,44.9,0,1,17,T,Islands
2023/7/18,2023,7,18,Tuesday,0,Hong Kong International Airport,5.6,0,1,17,T,Islands
2023/7/19,2023,7,19,Wednesday,0,Hong Kong International Airport,13.4,0,1,17,T,Islands
2023/7/20,2023,7,20,Thursday,0,Hong Kong International Airport,2.4,0,1,17,T,Islands
2023/7/21,2023,7,21,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/7/22,2023,7,22,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/7/23,2023,7,23,Sunday,1,Hong Kong International Airport,2.7,0,1,17,T,Islands
2023/7/24,2023,7,24,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/7/25,2023,7,25,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/7/26,2023,7,26,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/7/27,2023,7,27,Thursday,0,Hong Kong International Airport,6.6,0,1,17,T,Islands
2023/7/28,2023,7,28,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/7/29,2023,7,29,Saturday,1,Hong Kong International Airport,86.3,0,1,17,T,Islands
2023/7/30,2023,7,30,Sunday,1,Hong Kong International Airport,15.3,0,1,17,T,Islands
2023/7/31,2023,7,31,Monday,0,Hong Kong International Airport,8.5,0,1,17,T,Islands
2023/8/1,2023,8,1,Tuesday,0,Hong Kong International Airport,2.3,0,1,17,T,Islands
2023/8/2,2023,8,2,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/8/3,2023,8,3,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/8/4,2023,8,4,Friday,0,Hong Kong International Airport,1.7,0,1,17,T,Islands
2023/8/5,2023,8,5,Saturday,1,Hong Kong International Airport,0.3,0,1,17,T,Islands
2023/8/6,2023,8,6,Sunday,1,Hong Kong International Airport,4.7,0,1,17,T,Islands
2023/8/7,2023,8,7,Monday,0,Hong Kong International Airport,4,0,1,17,T,Islands
2023/8/8,2023,8,8,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/8/9,2023,8,9,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/8/10,2023,8,10,Thursday,0,Hong Kong International Airport,2.1,0,1,17,T,Islands
2023/8/11,2023,8,11,Friday,0,Hong Kong International Airport,23.4,0,1,17,T,Islands
2023/8/12,2023,8,12,Saturday,1,Hong Kong International Airport,0.6,0,1,17,T,Islands
2023/8/13,2023,8,13,Sunday,1,Hong Kong International Airport,14.8,0,1,17,T,Islands
2023/8/14,2023,8,14,Monday,0,Hong Kong International Airport,7,0,1,17,T,Islands
2023/8/15,2023,8,15,Tuesday,0,Hong Kong International Airport,6.3,0,1,17,T,Islands
2023/8/16,2023,8,16,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/8/17,2023,8,17,Thursday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/8/18,2023,8,18,Friday,0,Hong Kong International Airport,21.8,0,1,17,T,Islands
2023/8/19,2023,8,19,Saturday,1,Hong Kong International Airport,13.4,0,1,17,T,Islands
2023/8/20,2023,8,20,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/8/21,2023,8,21,Monday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/8/22,2023,8,22,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/8/23,2023,8,23,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/8/24,2023,8,24,Thursday,0,Hong Kong International Airport,2.1,0,1,17,T,Islands
2023/8/25,2023,8,25,Friday,0,Hong Kong International Airport,8,0,1,17,T,Islands
2023/8/26,2023,8,26,Saturday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/8/27,2023,8,27,Sunday,1,Hong Kong International Airport,3.2,0,1,17,T,Islands
2023/8/28,2023,8,28,Monday,0,Hong Kong International Airport,1.6,0,1,17,T,Islands
2023/8/29,2023,8,29,Tuesday,0,Hong Kong International Airport,18.3,0,1,17,T,Islands
2023/8/30,2023,8,30,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/8/31,2023,8,31,Thursday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/9/1,2023,9,1,Friday,0,Hong Kong International Airport,73,0,1,17,T,Islands
2023/9/2,2023,9,2,Saturday,1,Hong Kong International Airport,95,0,1,17,T,Islands
2023/9/3,2023,9,3,Sunday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/9/4,2023,9,4,Monday,0,Hong Kong International Airport,4.8,0,1,17,T,Islands
2023/9/5,2023,9,5,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/9/6,2023,9,6,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/9/7,2023,9,7,Thursday,0,Hong Kong International Airport,90.9,0,1,17,T,Islands
2023/9/8,2023,9,8,Friday,0,Hong Kong International Airport,71,0,1,17,T,Islands
2023/9/9,2023,9,9,Saturday,1,Hong Kong International Airport,28.9,0,1,17,T,Islands
2023/9/10,2023,9,10,Sunday,1,Hong Kong International Airport,44.5,0,1,17,T,Islands
2023/9/11,2023,9,11,Monday,0,Hong Kong International Airport,3.2,0,1,17,T,Islands
2023/9/12,2023,9,12,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/9/13,2023,9,13,Wednesday,0,Hong Kong International Airport,0.1,0,1,17,T,Islands
2023/9/14,2023,9,14,Thursday,0,Hong Kong International Airport,73.1,0,1,17,T,Islands
2023/9/15,2023,9,15,Friday,0,Hong Kong International Airport,10.5,0,1,17,T,Islands
2023/9/16,2023,9,16,Saturday,1,Hong Kong International Airport,4,0,1,17,T,Islands
2023/9/17,2023,9,17,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/9/18,2023,9,18,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/9/19,2023,9,19,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/9/20,2023,9,20,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/9/21,2023,9,21,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/9/22,2023,9,22,Friday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/9/23,2023,9,23,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/9/24,2023,9,24,Sunday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/9/25,2023,9,25,Monday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/9/26,2023,9,26,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/9/27,2023,9,27,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/9/28,2023,9,28,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/9/29,2023,9,29,Friday,0,Hong Kong International Airport,0.9,0,1,17,T,Islands
2023/9/30,2023,9,30,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/10/1,2023,10,1,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/10/2,2023,10,2,Monday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/10/3,2023,10,3,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/10/4,2023,10,4,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/10/5,2023,10,5,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/10/6,2023,10,6,Friday,0,Hong Kong International Airport,0.1,0,1,17,T,Islands
2023/10/7,2023,10,7,Saturday,1,Hong Kong International Airport,9.8,0,1,17,T,Islands
2023/10/8,2023,10,8,Sunday,1,Hong Kong International Airport,42.7,0,1,17,T,Islands
2023/10/9,2023,10,9,Monday,0,Hong Kong International Airport,351.9,0,1,17,T,Islands
2023/10/10,2023,10,10,Tuesday,0,Hong Kong International Airport,2.3,0,1,17,T,Islands
2023/10/11,2023,10,11,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/10/12,2023,10,12,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/10/13,2023,10,13,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/10/14,2023,10,14,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/10/15,2023,10,15,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/10/16,2023,10,16,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/10/17,2023,10,17,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/10/18,2023,10,18,Wednesday,0,Hong Kong International Airport,9.8,0,1,17,T,Islands
2023/10/19,2023,10,19,Thursday,0,Hong Kong International Airport,1.1,0,1,17,T,Islands
2023/10/20,2023,10,20,Friday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
